iter	R2	RMSE
0	-2.717641958	286.5622749
1	-0.6282652866	189.6478038
2	0.1107582921	140.1506601
3	0.4016241466	114.966753
4	0.5231864272	102.6265053
5	0.6130737242	92.44838895
6	0.6723226469	85.07627161
7	0.6939471926	82.2211259
8	0.7235571096	78.14261638
9	0.7422667753	75.45194499
10	0.7468417546	74.77927911
11	0.7608931809	72.67436013
12	0.7750687822	70.48717464
13	0.7939783396	67.45927621
14	0.7982458095	66.75695481
15	0.8061260282	65.44025597
16	0.822701399	62.58033593
17	0.842593707	58.9652686
18	0.8474688627	58.04495647
19	0.8643133546	54.74617588
20	0.866788458	54.24455658
21	0.8780380151	51.90359957
22	0.8800664265	51.47017237
23	0.8818978618	51.07567512
24	0.8939428699	48.40109323
25	0.9026982735	46.3602222
26	0.9086789024	44.91286887
27	0.9149752718	43.33690198
28	0.9194327436	42.18562842
29	0.9240231537	40.96621755
30	0.9293896035	39.49294868
31	0.9321996158	38.69913994
32	0.9373893985	37.18854386
33	0.9382105253	36.94387849
34	0.9414007304	35.97752942
35	0.9463454038	34.42616936
36	0.9489389852	33.58380941
37	0.9528744887	32.26363334
38	0.9558810829	31.21746675
39	0.9563788649	31.04085797
40	0.9586688688	30.21508927
41	0.9591890301	30.02435549
42	0.9607862379	29.4309642
43	0.9611361894	29.299346
44	0.9625654516	28.75554049
45	0.9628478919	28.64685612
46	0.9644212626	28.03370517
47	0.9669614577	27.01442166
48	0.9681924665	26.50636856
49	0.9695208998	25.94694949
50	0.9711452042	25.24609651
51	0.9728514034	24.48831639
52	0.9749139431	23.53972785
53	0.9762338593	22.91208268
54	0.9776666097	22.21071624
55	0.9787007306	21.69040138
56	0.9801029707	20.96425124
57	0.9809711609	20.50177122
58	0.9814885515	20.22113074
59	0.9821942436	19.83195142
60	0.9822993696	19.77332033
61	0.9833330609	19.18726883
62	0.9842648426	18.64321386
63	0.9855252881	17.88093401
64	0.9868759314	17.02626866
65	0.9872855721	16.75844225
66	0.9873707018	16.70224481
67	0.9882590328	16.1041265
68	0.9883319091	16.05406944
69	0.988757766	15.75837914
70	0.9894756243	15.24696515
71	0.9903023811	14.63584466
72	0.9903556365	14.59560228
73	0.9908613586	14.20777447
74	0.9914030189	13.78028567
75	0.9918130462	13.44765023
76	0.9921166164	13.19597748
77	0.9924545822	12.91001901
78	0.9928009436	12.61023044
79	0.9928434289	12.57296567
80	0.9932202752	12.23745952
81	0.9936868801	11.80884045
82	0.9938592462	11.64651733
83	0.9941876084	11.33085463
84	0.994448969	11.07317239
85	0.9947590738	10.75942987
86	0.9950053821	10.50355636
87	0.9954180214	10.06031932
88	0.995623836	9.831777255
89	0.9958288336	9.598734796
90	0.9959948952	9.405722848
91	0.9961542247	9.21673686
92	0.9963752082	8.94801631
93	0.9965309072	8.753730892
94	0.9965995752	8.666661216
95	0.9966375861	8.618086026
96	0.9969085189	8.26358572
97	0.997112499	7.986312589
98	0.9971884617	7.880562849
99	0.9972573035	7.783485358
