iter	R2	RMSE
0	-2.225922023	286.3616381
1	-0.3921324283	188.117059
2	0.2510542366	137.9790307
3	0.4974643125	113.0241786
4	0.5957292881	101.3734075
5	0.6566122999	93.42869287
6	0.7069808665	86.30498774
7	0.7404433135	81.2276738
8	0.757427691	78.52510332
9	0.7751638958	75.59984953
10	0.7950670444	72.17616576
11	0.8083566378	69.79668498
12	0.8247062331	66.75305438
13	0.8344686936	64.8676219
14	0.846198188	62.52714964
15	0.8490437223	61.94603228
16	0.8592059995	59.82462429
17	0.8624512744	59.13113168
18	0.8755925279	56.23557475
19	0.8774207145	55.82085037
20	0.8875584154	53.46276108
21	0.8981137716	50.89154648
22	0.9034768241	49.53403503
23	0.9125677381	47.14371061
24	0.916929774	45.95265423
25	0.9244636377	43.81935075
26	0.9254947883	43.51923294
27	0.9264305744	43.24506835
28	0.9316860092	41.67184544
29	0.9345293434	40.79540542
30	0.939078925	39.35244172
31	0.9433855723	37.93599385
32	0.9492347803	35.92287113
33	0.9531065433	34.52582216
34	0.95555657	33.61179373
35	0.9572427965	32.96799624
36	0.9597212126	31.99824055
37	0.960176223	31.81699277
38	0.9620019495	31.07910924
39	0.9641101628	30.20463901
40	0.9662507387	29.29004514
41	0.9667263108	29.08294508
42	0.9693317764	27.92108016
43	0.9698650694	27.67725426
44	0.9715686832	26.88353608
45	0.9735088642	25.95004976
46	0.9746415351	25.38922152
47	0.9759148124	24.74360201
48	0.9772190327	24.06434169
49	0.9778863494	23.70926695
50	0.9786580835	23.29188373
51	0.9791898309	22.99988742
52	0.9793584734	22.90650402
53	0.9801182574	22.4809743
54	0.9806752477	22.1638332
55	0.9814929783	21.68983123
56	0.9816178665	21.61652419
57	0.9828203405	20.89754079
58	0.98400309	20.16535894
59	0.9840955058	20.10702588
60	0.9846369281	19.76181988
61	0.9848707074	19.61088604
62	0.9852924537	19.33561619
63	0.9860741072	18.81479231
64	0.9868994537	18.24872843
65	0.9874206966	17.88200453
66	0.9879740769	17.48425438
67	0.9885111303	17.08938985
68	0.9889761029	16.74000101
69	0.9891458387	16.61062755
70	0.9899077183	16.01705206
71	0.990510055	15.53172715
72	0.9910544095	15.07968992
73	0.9912906983	14.87919967
74	0.991657259	14.56271286
75	0.9920316923	14.23216442
76	0.9925063924	13.80172532
77	0.9925448382	13.76627501
78	0.9929353297	13.40089652
79	0.9931604489	13.18565489
80	0.9935325219	12.82198869
81	0.9938010872	12.55294622
82	0.993831984	12.52162376
83	0.9941910901	12.15164925
84	0.9944362239	11.89248816
85	0.9945942636	11.72236767
86	0.9946240419	11.69003588
87	0.9947842978	11.51447915
88	0.9950865701	11.1758429
89	0.9952108422	11.03360615
90	0.9954518481	10.75239931
91	0.9957647119	10.37598618
92	0.9959727955	10.11788521
93	0.9960286566	10.04746783
94	0.9960746297	9.989142776
95	0.9961040828	9.951596579
96	0.9962749552	9.730914467
97	0.9963238726	9.666809937
98	0.9965234895	9.40068887
99	0.9967166976	9.135731939
